Identifier_name,Species,Host_isolation source,Country,Collector,GB-ITS,GB-ACT,GB-TEF1,GB-GAPDH,GB-RPB2,GB-HIS3
Ramularia_miae_CPC_12737,Ramularia_miae,Wachendorfia thyrsiflora,South Africa,M.K. Crous & P.W. Crous,KJ504802,KJ504466,KJ504717,KJ504585,KJ504673,KJ504629
Ramularia_miae_CPC_12738,Ramularia_miae,Wachendorfia thyrsiflora,South Africa,M.K. Crous & P.W. Crous,KJ504803,KJ504467,KJ504718,KJ504586,KJ504674,KJ504630
Ramularia_miae_CPC_19835,Ramularia_miae,Gazania rigens var. uniflora,South Africa,P.W. Crous,KJ504804,KJ504468,KJ504719,KJ504587,KJ504675,KJ504631
Ramularia_miae_CPC_19770,Ramularia_miae,Leonotis leonurus,South Africa,P.W. Crous,KJ504805,KJ504469,KJ504720,KJ504588,KJ504676,KJ504632
Ramularia_nyssicola_CBS_127665,Ramularia_nyssicola,Nyssa ogeche _ sylvatica hybrid,USA: Maryland,R. Olsen,KJ504765,KJ504429,KJ504680,-,KJ504636,KJ504592
Ramularia_plurivora_CBS_118693,Ramularia_plurivora,Human skin,Netherlands,-,KJ504779,KJ504443,KJ504694,KJ504562,KJ504650,KJ504606
Ramularia_plurivora_CPC_12206,Ramularia_plurivora,Human skin,Netherlands,-,KJ504779,KJ504443,KJ504694,KJ504562,KJ504650,KJ504606
Ramularia_plurivora_CBS_118743,Ramularia_plurivora,Human bone marrow,Netherlands,-,KJ504780,KJ504444,KJ504695,KJ504563,KJ504651,KJ504607
Ramularia_plurivora_CPC_12207,Ramularia_plurivora,Human bone marrow,Netherlands,-,KJ504780,KJ504444,KJ504695,KJ504563,KJ504651,KJ504607
Ramularia_plurivora_CPC_11517,Ramularia_plurivora,Coleosporium plectanthri on Plectranthus excisus,South Korea,H.-D. Shin,KJ504781,KJ504445,KJ504696,KJ504564,KJ504652,KJ504608
Ramularia_plurivora_CPC_16123,Ramularia_plurivora,Melon in storage,Netherlands,-,KJ504782,KJ504446,KJ504697,KJ504565,KJ504653,KJ504609
Ramularia_plurivora_CPC_16124,Ramularia_plurivora,Melon in storage,Netherlands,-,KJ504783,KJ504447,KJ504698,KJ504566,KJ504654,KJ504610
Ramularia_pratensis_CBS_136.23,Ramularia_pratensis,-,-,A. Weber,KJ504806,KJ504470,KJ504721,KJ504589,KJ504677,KJ504633
Ramularia_sp._CBS_114568,Ramularia_sp.,Epilobium hirsutum,Sweden,E. Gunnerbeck,KJ504788,KJ504452,KJ504703,KJ504571,KJ504659,KJ504615
Ramularia_tovarae_CBS_113305,Ramularia_tovarae,Persicaria filiformis,South Korea,H.-D. Shin,KJ504807,KJ504471,KJ504722,KJ504590,KJ504678,KJ504634
Ramularia_vizellae_CBS_130601,Ramularia_vizellae,Vizella interrupta,South Africa,P.W. Crous,KJ504808,KJ504472,KJ504723,KJ504591,KJ504679,KJ504635
Ramularia_vizellae_CPC_18283,Ramularia_vizellae,Vizella interrupta,South Africa,P.W. Crous,KJ504808,KJ504472,KJ504723,KJ504591,KJ504679,KJ504635
